iter	Passed	Remaining
723	860	327
724	860	326
725	861	325
726	862	323
727	863	322
728	863	321
729	864	319
730	865	318
731	866	317
732	866	315
733	867	314
734	868	313
735	869	311
736	869	310
737	870	309
738	871	307
739	872	306
740	872	305
741	873	303
742	874	302
743	875	301
744	876	299
745	876	298
746	877	297
747	878	295
748	879	294
749	879	293
750	880	291
751	881	290
752	882	289
753	882	288
754	883	286
755	884	285
756	885	284
757	885	282
758	886	281
759	887	280
760	888	278
761	888	277
762	889	276
763	890	275
764	891	273
765	891	272
766	892	271
767	893	269
768	894	268
769	895	267
770	895	266
771	896	264
772	897	263
773	897	262
774	898	260
775	899	259
776	900	258
777	900	257
778	901	255
779	902	254
780	903	253
781	904	252
782	904	250
783	905	249
784	906	248
785	906	246
786	907	245
787	908	244
788	910	243
789	911	242
790	912	240
791	913	239
792	914	238
793	915	237
794	916	236
795	917	235
796	918	233
797	919	232
798	920	231
799	921	230
800	922	229
801	923	227
802	924	226
803	925	225
804	926	224
805	927	223
806	928	222
807	929	220
808	930	219
809	931	218
810	932	217
811	933	216
812	934	214
813	935	213
814	936	212
815	937	211
816	938	210
817	939	209
818	940	207
819	941	206
820	942	205
821	943	204
822	944	203
823	945	202
824	947	200
825	948	199
826	949	198
827	950	197
828	951	196
829	952	195
830	953	193
831	954	192
832	955	191
833	956	190
834	957	189
835	958	187
836	959	186
837	960	185
838	961	184
839	962	183
840	964	182
841	965	181
842	966	180
843	967	178
844	968	177
845	970	176
846	971	175
847	973	174
848	975	173
849	976	172
850	977	171
851	978	169
852	979	168
853	980	167
854	981	166
855	982	165
856	983	164
857	984	162
858	985	161
859	986	160
860	987	159
861	988	158
862	989	157
863	990	155
864	991	154
865	992	153
866	993	152
867	994	151
868	995	150
869	996	148
870	997	147
871	999	146
872	1001	145
873	1002	144
874	1003	143
875	1005	142
876	1006	141
877	1007	139
878	1008	138
879	1009	137
880	1010	136
881	1011	135
882	1012	134
883	1013	133
884	1015	131
885	1016	130
886	1017	129
887	1018	128
888	1019	127
889	1021	126
890	1022	125
891	1023	123
892	1024	122
893	1025	121
894	1026	120
895	1027	119
896	1029	118
897	1029	116
898	1031	115
899	1032	114
900	1033	113
901	1034	112
902	1035	111
903	1036	110
904	1037	108
905	1038	107
906	1039	106
907	1040	105
908	1041	104
909	1043	103
910	1044	102
911	1045	100
912	1046	99
913	1047	98
914	1048	97
915	1049	96
916	1050	95
917	1051	93
918	1052	92
919	1053	91
920	1054	90
921	1056	89
922	1057	88
923	1058	87
924	1058	85
925	1059	84
926	1060	83
927	1061	82
928	1062	81
929	1063	80
930	1064	78
931	1065	77
932	1066	76
933	1066	75
934	1067	74
935	1068	73
936	1069	71
937	1070	70
938	1071	69
939	1072	68
940	1073	67
941	1073	66
942	1074	64
943	1075	63
944	1076	62
945	1076	61
946	1077	60
947	1078	59
948	1079	57
949	1079	56
950	1080	55
951	1081	54
952	1082	53
953	1082	52
954	1083	51
955	1084	49
956	1085	48
957	1086	47
958	1086	46
959	1087	45
960	1088	44
961	1089	43
962	1089	41
963	1090	40
964	1091	39
965	1092	38
966	1092	37
967	1093	36
968	1094	35
969	1094	33
970	1095	32
971	1096	31
972	1097	30
973	1098	29
974	1099	28
975	1099	27
976	1100	25
977	1101	24
978	1102	23
979	1102	22
980	1103	21
981	1104	20
982	1104	19
983	1105	17
984	1106	16
985	1107	15
986	1107	14
987	1108	13
988	1109	12
989	1110	11
990	1111	10
991	1112	8
992	1113	7
993	1113	6
994	1114	5
995	1115	4
996	1116	3
997	1116	2
998	1117	1
999	1118	0
